,title,price,link_item,index,discount,sales,category
10,Apple iPad mini (6th Gen) Wi-Fi 2021,11.250.000₫,https://tiki.vn/apple-ipad-mini-6th-gen-wi-fi-2021-hang-chinh-hang-p184248127.html?spid=124944089,11,-30%,Đã bán 389,maytinhbang
11,Máy tính bảng Masstel Tab 10.4 - Hàng chính hãng,4.990.000₫,https://tiki.vn/may-tinh-bang-masstel-tab-10-4-hang-chinh-hang-p273232944.html?spid=273232945,12,-21%,Đã bán 5,maytinhbang
12,"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",3.115.000₫,https://tiki.vn/may-tinh-bang-fire-hd10-2021-11th-all-new-fire-hd10-2021-ram-3gb-bo-nho-32gb-man-hinh-1080-fullhd-p150724369.html?spid=150724377,13,-43%,Đã bán 61,maytinhbang
13,Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225 - Hàng Chính Hãng,3.587.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-lte-sm-t225-hang-chinh-hang-p195177036.html?spid=196284570,14,-23%,Đã bán 1,maytinhbang
14,Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,3.089.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-t225-3gb-32gb-hang-chinh-hang-p121059239.html?spid=121059241,15,,Đã bán 313,maytinhbang
15,Máy tính bảng Xiaomi Redmi Pad (3GB/64GB) - Hàng chính hãng,6.290.000₫,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-3gb-64gb-hang-chinh-hang-p205897182.html?spid=205897184,16,,,maytinhbang
16,"Máy tính bảng siêu bền Oukitel RT6 (chống nước,chống va đập,pin 20000mAh,Ram 16Gb(8GB+8Gb),Rom 256GB,Màn hình 10.1"" ,FHD,Android 13,CPU MTK8788 ,Camera 16MP,sạc nhanh 33W)-hàng chính hãng",9.990.000₫,https://tiki.vn/may-tinh-bang-sieu-ben-oukitel-rt6-chong-nuoc-chong-va-dap-pin-20000mah-ram-16gb-8gb-8gb-rom-256gb-man-hinh-10-1-fhd-android-13-cpu-mtk8788-camera-16mp-sac-nhanh-33w-p271801317.html?spid=271801318,17,,Đã bán 1,maytinhbang
17,Máy Tính Bảng Samsung Galaxy Tab A7 Lite LTE T225 (3GB/32GB) ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,3.587.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-lte-t225-3gb-32gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p105830021.html?spid=216732431,18,,Đã bán 2,maytinhbang
18,Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,3.587.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-lte-sm-t225-da-kich-hoat-dien-tu-hang-chinh-hang-p103168844.html?spid=216714866,19,,Đã bán 2,maytinhbang
19,Máy tính bảng Kindle Fire Max 11 inch - 13th - 2023 - Ram 4Gb - Hàng nhập khẩu,5.490.000₫,https://tiki.vn/may-tinh-bang-kindle-fire-max-11-inch-13th-2023-ram-4gb-hang-nhap-khau-p273559306.html?spid=273559316,20,,,maytinhbang
